Banco;Cuenta;TipoRec;Fecha Corte;Fecha Trn;ValorTotal;Divipo;%;ot
52;;SIMIT;2007-03-23;2007-03-23;4689325,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;3679465,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;3971604,00;05001000;10;Medellin
52;;SIMIT;2007-03-23;2007-03-23;506880,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;4615279,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;4505062,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;562333,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;3919830,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;3573260,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;4318127,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;4134968,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;4916803,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;216753,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;3859481,00;05001000;10;Medellin
52;;SIMIT;2007-04-16;2007-04-16;4469705,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;4378598,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;4285142,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;4737375,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;2742800,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;3940764,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;3262326,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;3432570,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;6468152,00;05001000;10;Medellin
52;;SIMIT;2007-04-19;2007-04-19;367745,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;4257845,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;3875716,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;5257402,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;113210,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;3642312,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;4470755,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;4557207,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;4593862,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;4360985,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;506604,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;4224784,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;5366333,00;05001000;10;Medellin
52;;SIMIT;2007-05-10;2007-05-10;4858507,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;5140461,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;3773621,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;5894112,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;449439,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;6078409,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;5667205,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;5762930,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;4523032,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;429239,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;5709500,00;05001000;10;Medellin
52;;SIMIT;2007-05-26;2007-05-26;5039693,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;3848873,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;321701,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;5109028,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;5128758,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;4034927,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;4699440,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;4312617,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;5027086,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;4372681,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;431413,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;5341497,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;4757224,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;4499555,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;454455,00;05001000;10;Medellin
52;;SIMIT;2007-06-20;2007-06-20;5302225,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;5130155,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;5177099,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;122046,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;4369011,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;4553854,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;4541346,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;6048973,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;5316503,00;05001000;10;Medellin
52;;SIMIT;2007-06-23;2007-06-23;4660676,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;244340,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;5075057,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;6068136,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;4926972,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;5198238,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;4736358,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;556467,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;5420436,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;6314255,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;4966481,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;5121029,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;413997,00;05001000;10;Medellin
52;;SIMIT;2007-07-10;2007-07-10;4597767,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;5946756,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;5019153,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;6090251,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;275501,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;4269358,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;5019643,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;5973872,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;5651486,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;4605760,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;5659823,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;280543,00;05001000;10;Medellin
52;;SIMIT;2007-07-23;2007-07-23;6687391,00;05001000;10;Medellin
52;;SIMIT;2007-08-15;2007-08-15;5523401,00;05001000;10;Medellin
