"IDMUNICIPIO";"VALOR_TOTAL";"INDTIPO";"VIGENCIA";"ORIGEN";"CUENTA_RECAUDO";"IDBANCO";"NOM_BANCO";"FEC_TRAN";"FEC_CORTE";"NOMMUNICIPIO"
"68307000";"1020946.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"14/01/2014";"31/01/2014";"GIRON";
"68861000";"232349.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"14/01/2014";"31/01/2014";"VELEZ";
"68861000";"166251.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"14/01/2014";"31/01/2014";"VELEZ";
"68307000";"1362363.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"13/01/2014";"31/01/2014";"GIRON";
"27361000";"80400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"29/01/2014";"31/01/2014";"ISTMINA";
"27361000";"77033.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"29/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84700.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"07/01/2014";"31/01/2014";"ISTMINA";
"68307000";"679700.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"10/01/2014";"31/01/2014";"GIRON";
"68679000";"478289.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"SAN GIL";
"68307000";"841073.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"08/01/2014";"31/01/2014";"GIRON";
"68307000";"866087.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"07/01/2014";"31/01/2014";"GIRON";
"68307000";"562274.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"03/01/2014";"31/01/2014";"GIRON";
"68307000";"447193.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"31/01/2014";"31/01/2014";"GIRON";
"68307000";"579394.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"24/01/2014";"31/01/2014";"GIRON";
"68307000";"856892.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"17/01/2014";"31/01/2014";"GIRON";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"21/01/2014";"31/01/2014";"ISTMINA";
"68307000";"63500.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"07/01/2014";"31/01/2014";"GIRON";
"27361000";"90000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"ISTMINA";
"68679000";"1480020.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"SAN GIL";
"68077000";"4834692.00";"POLCA";"2013";"SDF";"220070023528";"02";"BANCO POPULAR";"07/01/2014";"31/01/2014";"BARBOSA SANTANDER";
"05172000";"11243650.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"01/11/2013";"31/01/2014";"CHIGORODO";
"05172000";"30000000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"01/11/2013";"31/01/2014";"CHIGORODO";
"68307000";"901804.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"30/01/2014";"31/01/2014";"GIRON";
"68307000";"63100.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"31/01/2014";"31/01/2014";"GIRON";
"27361000";"84700.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"07/01/2014";"31/01/2014";"ISTMINA";
"68307000";"11800.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"02/01/2014";"31/01/2014";"GIRON";
"05837000";"13590430.60";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"26/08/2013";"31/01/2014";"TURBO";
"68307000";"602909.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"27/01/2014";"31/01/2014";"GIRON";
"05308000";"14744056.00";"SIMIT";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"12/12/2013";"31/01/2014";"GIRARDOTA";
"68307000";"961865.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"GIRON";
"68307000";"533537.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"02/01/2014";"31/01/2014";"GIRON";
"68307000";"73600.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"28/01/2014";"31/01/2014";"GIRON";
"20060000";"125742.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"27/02/2014";"28/02/2014";"BOSCONIA";
"23417000";"27500.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"28/02/2014";"28/02/2014";"LORICA";
"20060000";"84700.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"28/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"63526.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"28/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"84703.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"06/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"41693.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"07/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"84303.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"10/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"92374.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"24/02/2014";"28/02/2014";"BOSCONIA";
"05425000";"2454441.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"10/02/2014";"28/02/2014";"MACEO";
"05887000";"499940.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"12/02/2014";"28/02/2014";"YARUMAL";
"23417000";"13075.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"13/02/2014";"28/02/2014";"LORICA";
"05686000";"1089518.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"17/02/2014";"28/02/2014";"SANTA ROSA DE OSOS";
"05318000";"45584.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"18/02/2014";"28/02/2014";"GUARNE";
"05847000";"765716.00";"SIMIT";"2014";"SDF";"408203001567";"40";"BANCO AGRARIO";"21/02/2014";"28/02/2014";"URRAO";
"05138000";"3242250.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"20/02/2014";"28/02/2014";"CAÑASGORDAS";
"20060000";"113120.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"04/02/2014";"28/02/2014";"BOSCONIA";
"05660000";"581157.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"05/02/2014";"28/02/2014";"SAN LUIS ANTIOQUIA";
"05761000";"247500.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"05/02/2014";"28/02/2014";"SOPETRAN";
"20060000";"152504.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"05/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"66510.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"06/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"127056.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"06/02/2014";"28/02/2014";"BOSCONIA";
"68229000";"33935.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"24/02/2014";"28/02/2014";"CURITI";
"20060000";"88335.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"25/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"364787.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"25/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"63279.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"25/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"127056.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"26/02/2014";"28/02/2014";"BOSCONIA";
"20060000";"46310.00";"POLCA";"2014";"SDF";"408203001559";"40";"BANCO AGRARIO";"26/02/2014";"28/02/2014";"BOSCONIA";
