Fecha;Cod. Trn.;Descripcion Movimiento;Referencia;Debito;Credito;Imp. GMF;Oficina;
22/11/2010;252;DEPOSITO AHORROS;0;;3,169,381.00;;BOGOTA CALLE CIEN;
22/11/2010;252;DEPOSITO AHORROS;0;;33,000.00;;BOGOTA CALLE CIEN;
22/11/2010;221;INTERESES DE AHORROS;0;;2,295.00;;AVENIDA CHILE;
23/11/2010;252;DEPOSITO AHORROS;0;;23,119.00;;FLORIDA-VALLE;
23/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;FLORIDA-VALLE;
23/11/2010;252;DEPOSITO AHORROS;0;;13,200.00;;MIRANDA;
23/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;MIRANDA;
23/11/2010;252;DEPOSITO AHORROS;0;;6,200.00;;TUMACO;
23/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
23/11/2010;252;DEPOSITO AHORROS;0;;25,750.00;;TUMACO;
23/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
23/11/2010;252;DEPOSITO AHORROS;0;;56,100.00;;TUMACO;
23/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
23/11/2010;252;DEPOSITO AHORROS;0;;636,838.00;;PUERTO TEJADA;
23/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;PUERTO TEJADA;
23/11/2010;252;DEPOSITO AHORROS;0;;57,815.00;;TUMACO;
23/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;TUMACO;
23/11/2010;253;NC PRD AUT ABONO RELIQUIDACION INTERESES;145;;20.00;0.00;AVENIDA CHILE;
23/11/2010;221;INTERESES DE AHORROS;0;;2,329.00;;AVENIDA CHILE;
24/11/2010;252;DEPOSITO AHORROS;0;;228,614.83;;CAUCASIA;
24/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;CAUCASIA;
24/11/2010;253;NC INTERNET TRANSFERENCIAS ENTRE TERCEROS INTERNET;217;;667,976.70;0.00;INTERNET BANCA VIRTUAL;
24/11/2010;253;NC PRD AUT ABONO RELIQUIDACION INTERESES;145;;17.00;0.00;AVENIDA CHILE;
24/11/2010;221;INTERESES DE AHORROS;0;;2,382.00;;AVENIDA CHILE;
